Product Code,Asin,Model number,Age,Dimensions
R0000HFJVT,B006O6ERRQ, BCH82,null,    32.5 x 23 x 7 cm ; 2.4 Kg    ,
R0000HFJVJ,B006O6ERO4, X6945,null,    32.5 x 23 x 7 cm ; 2.4 Kg    ,
R0000HFJV9,B006NOPM1O, BCH81,null,    33.5 x 23.5 x 7 cm ; 2.4 Kg    ,
R0000HDU0L,B00005M22M, 141348, 6 - 8 years,    35 x 8 x 29 cm ; 9 g    ,
R0000HOS1V,B0020HRHM0, PP1003, 12 months and up,null,
R0000HR0EN,B004KX99BE, 4419, 4 - 12 years,null,
R0000F3VOD,-,null,null,null,
R0000HP5TF,B001TL3HNQ,null,null,    47 x 22 x 0.3 cm    ,
R0000HOQQX,B004X4L558, 9507, 4 years and up,    17 x 29 x 17.5 cm ; 1.6 Kg    ,
R0000HV9DB,B000FCR4XO, 3268, 8 - 12 years,null,
R0000HOWPX,B0053G4A4S, 551590, 36 months - 8 years,    70 x 49 x 49 cm ; 2.2 Kg    ,
R0000F3VMF,B006E61G48, X0099, 3 years and up,    22.9 x 6.2 x 33 cm ; 454 g    ,
R0000HUL3P,B0035RQTBO, 180307, 18 months and up,null,
R0000HOOYH,B003GF0C22, 33187,null,    38.4 x 28.6 x 10 cm ; 998 g    ,
R0000HOXAH,B003Z0C8B6, 10011, 5 years and up,    48.3 x 22.9 x 19 cm    ,
R0000HVA03,B001PO5UUK, 4867, 0 months and up,null,
R0000HOW9T,B004UL4GXW, 8309, 3 years and up,null,
R0000F487R,-,null,null,null,
R0000F4877,-,null,null,null,
R0000F3A9T,-,null,null,null,
R0000HVA2L,B002ABF12Y,null,null,    33.6 x 14.4 x 6.6 cm    ,
R0000HOUAP,B0054I57QU, 290363, 3 years and up,    20 x 10 x 11 cm ; 1.1 Kg    ,
R0000HOXRF,B00361FV8G, 819820, 1 month - 12 years,null,
R0000HOZTV,B002TW99BS, NN7819,null,null,
R0000F3PVR,-,null,null,null,
R0000HOUZZ,B005487ULK, 24674,null,null,
R0000HOUJB,-,null,null,null,
R0000HOXYN,B00511IYJM,null, 4 years and up,null,
R0000HOXGV,B004FTU1GK, NN7976, 3 years and up,null,
R0000HOVU9,B004U8YIZQ, 830553, 8 - 14 years,null,
R0000F485T,-,null,null,null,
R0000HGXPP,B002TV1Z84, NN7752,null,null,
R0000E5ALL,B0013DK0X0,null,null,null,
R0000HOZOL,B000V3SS4G, NN7144,null,null,
R0000F483L,-,null,null,null,
R0000HOZPP,B000V4LKIQ,null,null,null,
R0000F483V,-,null,null,null,
R0000HULB7,B0006FUCHA, 65005-White-One Size, 12 years and up,    30.5 x 30.5 x 30.5 cm ; 454 g    ,
R0000F488L,-,null,null,null,
R0000F486X,-,null,null,null,
R0000F486N,-,null,null,null,
R0000F486D,-,null,null,null,
R0000F485J,-,null,null,null,
R0000HOR8F,B001063MI0, EP020103, 3 years and up,null,
R0000GTTJ3,B0081G2SBO, EZ-220,null,null,
R0000F488B,-,null,null,null,
R0000BRZ8P,B003USVBOS, BR 12,null,null,
R0000F4863,-,null,null,null,
